Algoritmo,Tempo_ms,Comparacoes,Trocas
Bubble Sort,150896.14818285714,999923450.0,481107162.28571427
Heap Sort,192.8470942857143,1109810.0,578385.5714285715
Insertion Sort,35187.72708285714,481147155.28571427,481107162.28571427
Merge Sort,166.29528285714287,557257.0,1242971.4285714286
Quick Sort,128.69138,21471526.14285714,244209.2857142857
Radix Soort,110.26517714285714,0.0,1000000.0
Selection Sort,3576.0883628571432,999980000.0,39834.57142857143
Shell Sort,180.7654742857143,1114261.142857143,573798.5714285715
